STATION,STATION_NAME,DATE,DLY-TAVG-NORMAL
GHCND:USC00047050,POMONA FAIRPLEX CA US,20100101,54.7
GHCND:USC00047050,POMONA FAIRPLEX CA US,20100102,54.8
GHCND:USC00047050,POMONA FAIRPLEX CA US,20100103,54.9
GHCND:USC00047050,POMONA FAIRPLEX CA US,20100104,54.9
GHCND:USC00047050,POMONA FAIRPLEX CA US,20100105,55.0
GHCND:USC00047050,POMONA FAIRPLEX CA US,20100106,55.1
GHCND:USC00047050,POMONA FAIRPLEX CA US,20100107,55.2
GHCND:USC00047050,POMONA FAIRPLEX CA US,20100108,55.2
GHCND:USC00047050,POMONA FAIRPLEX CA US,20100109,55.3
GHCND:USC00047050,POMONA FAIRPLEX CA US,20100110,55.4
GHCND:USC00047050,POMONA FAIRPLEX CA US,20100111,55.5
GHCND:USC00047050,POMONA FAIRPLEX CA US,20100112,55.5
GHCND:USC00047050,POMONA FAIRPLEX CA US,20100113,55.6
GHCND:USC00047050,POMONA FAIRPLEX CA US,20100114,55.6
GHCND:USC00047050,POMONA FAIRPLEX CA US,20100115,55.7
GHCND:USC00047050,POMONA FAIRPLEX CA US,20100116,55.8
GHCND:USC00047050,POMONA FAIRPLEX CA US,20100117,55.8
GHCND:USC00047050,POMONA FAIRPLEX CA US,20100118,55.9
GHCND:USC00047050,POMONA FAIRPLEX CA US,20100119,55.9
GHCND:USC00047050,POMONA FAIRPLEX CA US,20100120,56.0
GHCND:USC00047050,POMONA FAIRPLEX CA US,20100121,56.0
GHCND:USC00047050,POMONA FAIRPLEX CA US,20100122,56.0
GHCND:USC00047050,POMONA FAIRPLEX CA US,20100123,56.1
GHCND:USC00047050,POMONA FAIRPLEX CA US,20100124,56.1
GHCND:USC00047050,POMONA FAIRPLEX CA US,20100125,56.1
GHCND:USC00047050,POMONA FAIRPLEX CA US,20100126,56.1
GHCND:USC00047050,POMONA FAIRPLEX CA US,20100127,56.2
GHCND:USC00047050,POMONA FAIRPLEX CA US,20100128,56.2
GHCND:USC00047050,POMONA FAIRPLEX CA US,20100129,56.2
GHCND:USC00047050,POMONA FAIRPLEX CA US,20100130,56.2
GHCND:USC00047050,POMONA FAIRPLEX CA US,20100131,56.2
GHCND:USC00047050,POMONA FAIRPLEX CA US,20100201,56.3
GHCND:USC00047050,POMONA FAIRPLEX CA US,20100202,56.3
GHCND:USC00047050,POMONA FAIRPLEX CA US,20100203,56.3
GHCND:USC00047050,POMONA FAIRPLEX CA US,20100204,56.3
GHCND:USC00047050,POMONA FAIRPLEX CA US,20100205,56.3
GHCND:USC00047050,POMONA FAIRPLEX CA US,20100206,56.4
GHCND:USC00047050,POMONA FAIRPLEX CA US,20100207,56.4
GHCND:USC00047050,POMONA FAIRPLEX CA US,20100208,56.4
GHCND:USC00047050,POMONA FAIRPLEX CA US,20100209,56.4
GHCND:USC00047050,POMONA FAIRPLEX CA US,20100210,56.5
GHCND:USC00047050,POMONA FAIRPLEX CA US,20100211,56.5
GHCND:USC00047050,POMONA FAIRPLEX CA US,20100212,56.5
GHCND:USC00047050,POMONA FAIRPLEX CA US,20100213,56.6
GHCND:USC00047050,POMONA FAIRPLEX CA US,20100214,56.6
GHCND:USC00047050,POMONA FAIRPLEX CA US,20100215,56.6
GHCND:USC00047050,POMONA FAIRPLEX CA US,20100216,56.7
GHCND:USC00047050,POMONA FAIRPLEX CA US,20100217,56.7
GHCND:USC00047050,POMONA FAIRPLEX CA US,20100218,56.8
GHCND:USC00047050,POMONA FAIRPLEX CA US,20100219,56.8
GHCND:USC00047050,POMONA FAIRPLEX CA US,20100220,56.9
